"quarter","exp_total","exp_primary","exp_personnel","exp_socialsec","exp_transfers","cpi","exp_total_real","exp_primary_real","exp_personnel_real","exp_socialsec_real","exp_transfers_real"
2007 Q1,49441.897,33475.107,11192.386,1405.582,14857.044,136.64333333333,36183.1754201946,24498.1633449619,8190.94918644667,1028.65025736104,10872.8641475376
2007 Q2,51237.546,40310.87,10781.312,1319.885,17918.602,139.68333333333,36681.2165612704,28858.7543252602,7718.39541820803,944.912301634672,12828.0171817209
2007 Q3,53280.119,37401.965,11063.989,1367.212,14916.092,139.16666666667,38285.1154491009,26875.6634730532,7950.17173652676,982.427784431114,10718.1499401195
2007 Q4,50108.121,44126.85,10531.152,1711.856,15600.12,144.63,34645.7311761045,30510.1638664178,7281.44368388301,1183.6105925465,10786.2269238747
2008 Q1,51561.873,37811.036,12512.628,1585.378,17514.374,148.68333333333,34678.9864364989,25430.5813249641,8415.62246384953,1066.27821993052,11779.6484699027
2008 Q2,49026.659,42037.687,11993.39,1467.448,17711.132,154.12333333333,31810.0173021613,27275.3554512626,7781.68350022726,952.125786707636,11491.531890045
2008 Q3,64889.166,44291.174,12641.136,1481.588,17281.67,155.38,41761.5947998455,28505.0675762646,8135.62620671901,953.525550263869,11122.1971939761
2008 Q4,61552.864,52229.36,11709.168,1873.126,17853.261,160.43666666667,38365.8332467632,32554.5033346485,7298.3116910098,1167.51740042797,11127.9181816291
2009 Q1,66424.698,48334.482,14496.612,1769.422,24179.364,161.12333333333,41225.9954072458,29998.4372220045,8997.21455613731,1098.17862093223,15006.7426609019
2009 Q2,58406.078,49254.141,13972.308,1677.018,21917.831,162.90333333333,35853.212334514,30235.1953101027,8577.05469501358,1029.45591455057,13454.5012379533
2009 Q3,72338.252,54067.927,14127.952,1692.97,24107.863,163.66666666667,44198.5246435836,33035.3932790217,8632.14989816683,1034.40122199591,14729.8551934824
2009 Q4,71050.157,63361.741,13350.015,2068.873,21770.747,169.6,41892.78125,37359.5170990566,7871.47110849057,1219.85436320755,12836.5253537736
2010 Q1,68372.793,53373.523,16224.015,2754.187,27719.235,176.09333333333,38827.5874536238,30309.791966382,9213.30449761507,1564.04955705311,15741.2177254489
2010 Q2,68121.497,55561.915,15512.171,2607.081,24101.406,177.92,38287.7118929856,31228.5943120504,8718.62129046763,1465.31081384892,13546.2039118705
2010 Q3,72332.872,60608.391,15687.185,2656.608,25874.653,177.38666666667,40776.9497895362,34167.3881915207,8843.49725646405,1497.63680096209,14586.5827946479
2010 Q4,85531.562,76516.133,14891.967,3044.639,24161.787,182.2,46943.7771679473,41995.6822173436,8173.41767288694,1671.04226125137,13261.134467618
2011 Q1,72853.24,58884.61,18773.596,3308.817,29554.312,183.74333333333,39649.46029788,32047.2089690335,10217.2936886601,1800.78206919075,16084.5628866356
2011 Q2,70362.118,61895.896,18063.502,3039.181,25406.513,188.39666666667,37347.8571807704,32854.0292644945,9588.01571153047,1613.18193881701,13485.6488968309
2011 Q3,77653.213,65324.097,18634.798,3093.956,25061.275,188.69,41153.8571201442,34619.7980815094,9875.88001483915,1639.70321691664,13281.7186920346
2011 Q4,93738.221,86270.631,17442.246,3407.81,30476.751,198.95333333333,47115.6825721283,43362.2445799692,8767.00365244796,1712.86901450929,15318.5425392892
2012 Q1,83849.846,66526.062,21648.081,3738.079,32293.565,203.02,41301.2737661314,32768.2307161856,10663.0287656389,1841.23682395823,15906.5929465077
2012 Q2,85031.129,76095.403,22176.332,3583.659,34361.504,206.14,41249.2136412147,36914.4285437082,10757.8985155719,1738.45881439798,16669.0132919375
2012 Q3,89160.33,75886.748,22078.905,3578.553,30530.276,205.75666666667,43332.8997035326,36881.7930565225,10730.5903413415,1739.21606428302,14838.0494759179
2012 Q4,103845.381,94962.426,20559.392,3827.917,32291.674,212.42333333333,48886.0519089248,44704.3290912807,9678.49985092676,1802.02284745872,15201.5663690432
2013 Q1,95037.413,79889.241,25093.263,4234.374,37936.129,217.65333333333,43664.5796067147,36704.8093298217,11529.0046863516,1945.4671036511,17429.6108490569
2013 Q2,92832.784,84680.484,23862.6,3838.697,37395.875,220.52333333333,42096.5811629917,38399.784149826,10820.8957479936,1740.72146560457,16957.7860241549
2013 Q3,106670.583,86132.954,24388.711,3963.663,35580.507,222.85333333333,47865.823411512,38650.0631207377,10943.8394459736,1778.59713413907,15965.8850364966
2013 Q4,113683.78,107535.831,22890.793,4269.727,37830.082,228.30333333333,49795.0592048598,47102.1729862325,10026.4821655401,1870.19915025335,16570.0962170215
2014 Q1,105816.742,91845.221,29384.004,5036.538,41641.093,235.08666666667,45011.8007543311,39068.6644641687,12499.2218472618,2142.41754813824,17713.0815585739
2014 Q2,108039.977,95548.454,27655.087,4549.773,41321.084,241.25333333333,44782.7913949382,39605.0295678131,11463.0901127447,1885.89021222507,17127.6738145244
2014 Q3,111578.191,99772.14,27332.061,4529.697,41997.309,243.43666666667,45834.5870931516,40984.8447919371,11227.5859566484,1860.72914241895,17251.8419575247
2014 Q4,123317.427,111673.205,25998.936,4812.933,37322.696,248.30333333333,49664.0239760515,44974.509001088,10470.6351102819,1938.32798593121,15031.0893933497
2015 Q1,118613.923,100522.545,32341.643,5454.576,41746.873,252.64,46949.7795281824,39788.8477675744,12801.4736383787,2159.03103229892,16524.2530873971
2015 Q2,118047.479,106423.081,30614.773,4889.191,45986.641,259.91666666667,45417.4334081431,40945.0776530934,11778.6879127924,1881.06098108366,17692.8403975631
2015 Q3,130989.256,115939.807,32083.963,5173.706,51049.986,261.21,50147.1061597948,44385.6693847862,12282.8233987979,1980.66919336932,19543.6568278397
2015 Q4,138654.435,130415.421,30011.033,5527.308,43887.528,268.57333333333,51626.2851859213,48558.5889639087,11174.2415479324,2058.02561683962,16340.9849575537
2016 Q1,131667.352,115201.196,38672.2,6555.241,54233.615,274.36333333333,47990.1415398079,41988.553864098,14095.2508231179,2389.25548846423,19767.0783267932
2016 Q2,142184.599,132260.943,38232.547,5961.312,57050.526,277.92333333333,51159.6479844568,47589.0028425111,13756.5085095412,2144.94836705569,20527.432985116
2016 Q3,142668.773,127380.785,36735.304,6072.719,56181.065,282.20333333333,50555.3110641269,45137.944862452,13017.3175370007,2151.89485123023,19908.0090006026
2016 Q4,167550.707,158981.97,35224.072,6109.919,57381.892,288.89333333333,57997.4293857024,55031.3737480968,12192.7604190706,2114.93942400889,19862.6570360458
2017 Q1,159656.847,140832.426,41903.757,6991.674,71426.412,302.38333333333,52799.4864134934,46574.1363611315,13857.8262690846,2312.18894339417,23621.1471090781
2017 Q2,164778.321,156612.418,39920.737,6373.951,72348.1,309.87333333333,53176.0249349202,50540.7859125239,12882.9210860353,2056.95370151247,23347.6366687466
2017 Q3,163785.518,144198.55,40886.795,6836.194,60279.731,311.99,52497.0409307991,46218.9653514536,13105.1620244239,2191.1580499375,19321.0458668547
2017 Q4,189501.631,179367.12,39427.756,7065.119,66907.885,324.33,58428.6470570098,55303.8941818518,12156.6786914562,2178.37357012919,20629.570190855
2018 Q1,187859.121,165581.822,48227.37,8326.072,74338.216,333.46666666667,56335.2022191118,49654.6847261091,14462.426029588,2496.82287085163,22292.5477808874
2018 Q2,211832.09,200301.995,50341.466,8062.648,90351.107,349.52,60606.5718699931,57307.7348935683,14403.0287251087,2306.77729457542,25850.0535019455
2018 Q3,203852.655,177241.258,52080.626,8622.014,77893.203,372.63666666667,54705.4740542615,47564.0949629215,13976.2483563076,2313.7857251478,20903.2577756705
2018 Q4,226905.654,213363.233,50239.043,9358.568,80516.648,396.87666666667,57172.8380773199,53760.5888479204,12658.6033444478,2358.05447536176,20287.5741414208
2019 Q1,254443.108,221079.477,63774.218,11444.229,98310.31,399.86333333333,63632.5181103549,55288.759576189,15949.0037429456,2862.03511199662,24585.9777090508
2019 Q2,227123.811,209743.568,62061.557,10230.754,100958.923,412.26,55092.3715616359,50876.526463882,15053.9846213555,2481.62664338039,24489.1386503663
2019 Q3,258059.156,227315.489,63042.874,10520.033,106812.112,423.04,61001.1242435703,53733.805077534,14902.3435136157,2486.77028177005,25248.7027231467
2019 Q4,259863.358,241411.259,60998.313,10842.131,94189.246,437.78,59359.3489880762,55144.4239115537,13933.5540682535,2476.61633697291,21515.2007857828
2020 Q1,285329.547,247081.502,75813.704,12770.605,113736.487,448.35,63639.912345266,55109.0670235307,16909.4912456786,2848.35619493699,25367.7901193264
2020 Q2,279532.1,246523.134,70130.888,11490.632,125392.61,460.29666666667,60728.6822266794,53557.444981135,15236.0190891381,2496.35351114135,27241.6941248034
2020 Q3,305151.116,268584.273,74503.136,12048.547,134129.063,472.79333333333,64542.1782597052,56807.9653548418,15758.0766790283,2548.37497708655,28369.4911800789
2020 Q4,332223.706,306085.251,67320.947,11975.774,124731.316,496.92333333333,66856.1292486438,61596.0713590967,13547.5520033272,2409.98423633426,25100.7162741404
2021 Q1,321335.669,272407.88,87754.046,14771.462,133781.734,518.26333333333,62002.3930562974,52561.6732806363,16932.3277098516,2850.18465516245,25813.4668990669
2021 Q2,342024.651,300082.32,82726.246,13377.471,145419.484,538.95,63461.2952964097,55679.0648483162,15349.5214769459,2482.13581964932,26981.9990722702
2021 Q3,388289.397,336886.718,89801.678,14552.013,158526.242,563.87333333333,68861.1030255026,59745.1055201526,15925.8600631348,2580.7237441033,28113.8036911365
2021 Q4,547992.678,509413.207,85976.267,14667.485,188936.291,625.37,87626.9533236324,81457.8900490909,13748.0638661912,2345.40911780226,30211.9211027072
2022 Q1,571715.201,486876.336,130419.696,21275.797,223999.158,802.26666666667,71262.4897374104,60687.5938175168,16256.4021937842,2651.96073624729,27920.7858567391
2022 Q2,600135.591,550320.784,128040.768,20260.452,266154.159,938.15,63970.1104301018,58660.2125459681,13648.2191547194,2159.61754516868,28370.1070191334
2022 Q3,848909.11,776452.259,182658.931,27750.106,338527.728,1021.19,83129.3990344598,76034.0640821003,17886.8703179624,2717.4282944408,33150.3175706773
2022 Q4,920660.492,816867.815,174158.289,27556.123,297471.133,1109.2366666667,82999.4643764005,73642.3379741602,15700.7331468182,2484.2419862307,26817.6433343042
2023 Q1,1044752.68621,944095.11015,274556.55492,42835.06641,464758.54479,1238.1866666667,84377.6398450938,76248.2051831152,22174.0842726993,3459.49989312318,37535.4183098392
2023 Q2,1318824.03981,1144238.07383,282878.44628,43035.89863,581633.51572,1317.41,100107.334831981,86855.122841788,21472.3166121405,3266.70502197494,44149.7723351121
2023 Q3,1589008.43589,1393388.1134,403454.62221,51143.76751,577613.12681,1595.0633333333,99620.3976784642,87356.2876333037,25293.9562824052,3206.37848298611,36212.551234748
2023 Q4,2632870.34956,2429119.68073,363640.22549,48720.5986,749635.43508,1804.9966666667,145865.662700759,134577.516157737,20146.3100849675,2699.20712318947,41531.1257313487
2024 Q1,2150680.20014,1900203.78913,664319.76864,81509.75567,837167.67507,2065.79,104109.333482106,91984.3638090029,32158.1462123449,3945.69417365754,40525.303882292
2024 Q2,2427868.41494,2103921.28544,621099.90391,77281.91133,991830.63843,2269.5466666667,106975.919490822,92702.270296563,27366.6945488375,3405.1695197572,43701.7071733849
2024 Q3,2580088.19865,2241825.87626,721316.30462,87775.26498,911331.66528,2457.8666666667,104972.667298876,91210.2314850264,29347.2511915478,3571.19717559939,37078.1571530862
2024 Q4,3618371.98154,3260602.50392,659227.4098,85589.69397,1123268.59087,2646.8966666667,136702.426925366,123185.863089478,24905.6722954803,3233.58652598196,42437.1908815224
2025 Q1,2089858.87738,1787152.0577,638420.82544,75703.68856,809501.94142,2851.7,73284.6680008416,62669.7078128836,22387.3768432865,2654.6862769576,28386.6445074868
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
