quarter,exp_total,exp_primary,exp_personnel,exp_socialsec,exp_transfers,cpi,exp_total_real,exp_primary_real,exp_personnel_real,exp_socialsec_real,exp_transfers_real,log_exp_total_real,dlog_exp_total_real,log_exp_primary_real,dlog_exp_primary_real,log_exp_personnel_real,log_exp_socialsec_real,dlog_exp_socialsec_real,log_exp_transfers_real,dlog_exp_transfers_real
2020 Q2,279532.1,246523.134,70130.888,11490.632,125392.61,460.29666666667,60728.6822266794,53557.444981135,15236.0190891381,2496.35351114135,27241.6941248034,11.014171389770627,-0.046824715327318245,10.88851009480494,-0.02855944257920484,9.631417580494672,7.822586350526832,-0.13191098263160494,10.21250395087008,0.07126840812800062
2020 Q3,305151.116,268584.273,74503.136,12048.547,134129.063,472.79333333333,64542.1782597052,56807.9653548418,15758.0766790283,2548.37497708655,28369.4911800789,11.075074215574148,0.060902825803520244,10.947431829997672,0.05892173519273314,9.665108317831889,7.8432111711259065,0.020624820599074667,10.253069592502085,0.04056564163200527
2020 Q4,332223.706,306085.251,67320.947,11975.774,124731.316,496.92333333333,66856.1292486438,61596.0713590967,13547.5520033272,2409.98423633426,25100.7162741404,11.110298264918661,0.03522404934451373,11.028353370849754,0.08092154085208136,9.513961146025055,7.787375485523167,-0.055835685602739105,10.13065166153105,-0.12241793097103404
2021 Q1,321335.669,272407.88,87754.046,14771.462,133781.734,518.26333333333,62002.3930562974,52561.6732806363,16932.3277098516,2850.18465516245,25813.4668990669,11.034928260964573,-0.0753700039540881,10.869742488280293,-0.15861088256946054,9.736979955921486,7.955139062448902,0.16776357692573463,10.158651607561326,0.02799994603027578
2021 Q2,342024.651,300082.32,82726.246,13377.471,145419.484,538.95,63461.2952964097,55679.0648483162,15349.5214769459,2482.13581964932,26981.9990722702,11.058185476155002,0.023257215190428226,10.927359499757998,0.057617011477704594,9.638839578389087,7.816874686124465,-0.1382643763244369,10.202925221615477,0.0442736140541502
2021 Q3,388289.397,336886.718,89801.678,14552.013,158526.242,563.87333333333,68861.1030255026,59745.1055201526,15925.8600631348,2580.7237441033,28113.8036911365,11.139846755142127,0.08166127898712539,10.99784255045775,0.07048305069975314,9.675699486086259,7.855825159547284,0.03895047342281899,10.244015969265657,0.041090747650180504
2021 Q4,547992.678,509413.207,85976.267,14667.485,188936.291,625.37,87626.9533236324,81457.8900490909,13748.0638661912,2345.40911780226,30211.9211027072,11.380843915941583,0.24099716079945566,11.307841479186258,0.30999892872850765,9.528653283448547,7.760215129544887,-0.09561003000239676,10.315991863974455,0.07197589470879784
2022 Q1,571715.201,486876.336,130419.696,21275.797,223999.158,802.26666666667,71262.4897374104,60687.5938175168,16256.4021937842,2651.96073624729,27920.7858567391,11.174125377328746,-0.2067185386128365,11.013494570944195,-0.2943469082420638,9.696242091323638,7.883054545859535,0.12283941631464756,10.23712670321154,-0.0788651607629145
2022 Q2,600135.591,550320.784,128040.768,20260.452,266154.159,938.15,63970.1104301018,58660.2125459681,13648.2191547194,2159.61754516868,28370.1070191334,11.066171228722228,-0.10795414860651853,10.979516965879261,-0.033977605064933414,9.521364327246104,7.677686422578902,-0.2053681232806328,10.253091300059912,0.015964596848371926
2022 Q3,848909.11,776452.259,182658.931,27750.106,338527.728,1021.19,83129.3990344598,76034.0640821003,17886.8703179624,2717.4282944408,33150.3175706773,11.32815369727321,0.2619824685509826,11.238936730458233,0.259419764578972,9.791822220894979,7.90744123205691,0.22975480947800797,10.408807575377393,0.15571627531748078
2022 Q4,920660.492,816867.815,174158.289,27556.123,297471.133,1109.2366666667,82999.4643764005,73642.3379741602,15700.7331468182,2484.2419862307,26817.6433343042,11.326589433461534,-0.001564263811676625,11.206975383541572,-0.031961346916661526,9.661462687495684,7.817722856275818,-0.08971837578109199,10.196815283262156,-0.2119922921152373
2023 Q1,1044752.68621,944095.11015,274556.55492,42835.06641,464758.54479,1238.1866666667,84377.6398450938,76248.2051831152,22174.0842726993,3459.49989312318,37535.4183098392,11.343057714738364,0.016468281276830865,11.241749155610526,0.034773772068954045,10.00667951084367,8.148879318045147,0.33115646176932856,10.533040254472489,0.3362249712103331
2023 Q2,1318824.03981,1144238.07383,282878.44628,43035.89863,581633.51572,1317.41,100107.334831981,86855.122841788,21472.3166121405,3266.70502197494,44149.7723351121,11.513998237663593,0.17094052292522832,11.371996754866817,0.13024759925629148,9.974519785012012,8.091537117342524,-0.05734220070262275,10.695343049396207,0.16230279492371835
2023 Q3,1589008.43589,1393388.1134,403454.62221,51143.76751,577613.12681,1595.0633333333,99620.3976784642,87356.2876333037,25293.9562824052,3206.37848298611,36212.551234748,11.509122218573374,-0.00487601909021862,11.37775029503577,0.005753540168953464,10.138320764060362,8.072897380782425,-0.01863973656009854,10.497161056912587,-0.19818199248362056
2023 Q4,2632870.34956,2429119.68073,363640.22549,48720.5986,749635.43508,1804.9966666667,145865.662700759,134577.516157737,20146.3100849675,2699.20712318947,41531.1257313487,11.890441358633664,0.38131914006029,11.809895640320965,0.43214534528519444,9.910776428271769,7.90071335078847,-0.17218402999395543,10.634198442718988,0.13703738580640135
2024 Q1,2150680.20014,1900203.78913,664319.76864,81509.75567,837167.67507,2065.79,104109.333482106,91984.3638090029,32158.1462123449,3945.69417365754,40525.303882292,11.553196909393805,-0.33724444923985963,11.429373882988784,-0.38052175733218085,10.378421078980534,8.280380180704638,0.37966682991616807,10.609681845213442,-0.02451659750554569
2024 Q2,2427868.41494,2103921.28544,621099.90391,77281.91133,991830.63843,2269.5466666667,106975.919490822,92702.270296563,27366.6945488375,3405.1695197572,43701.7071733849,11.580359036628511,0.0271621272347069,11.437148242047611,0.007774359058826619,10.217082025608827,8.133050002882445,-0.1473301778221927,10.685142446073149,0.07546060085970652
2024 Q3,2580088.19865,2241825.87626,721316.30462,87775.26498,911331.66528,2457.8666666667,104972.667298876,91210.2314850264,29347.2511915478,3571.19717559939,37078.1571530862,11.56145528381348,-0.018903752815031538,11.42092235710571,-0.01622588494190147,10.286954164704907,8.180656161863837,0.047606158981391644,10.520783319229162,-0.164359126843987
2024 Q4,3618371.98154,3260602.50392,659227.4098,85589.69397,1123268.59087,2646.8966666667,136702.426925366,123185.863089478,24905.6722954803,3233.58652598196,42437.1908815224,11.825561776214768,0.2641064924012877,11.7214495758472,0.30052721874149135,10.122850859540966,8.081347179762261,-0.0993089821015758,10.655780400186686,0.1349970809575236
2025 Q1,2089858.87738,1787152.0577,638420.82544,75703.68856,809501.94142,2851.7,73284.6680008416,62669.7078128836,22387.3768432865,2654.6862769576,28386.6445074868,11.202106698204044,-0.6234550780107231,11.04563348089548,-0.6758160949517205,10.016252545216437,7.884081763589747,-0.19726541617251403,10.2536740497197,-0.40210635046698506
